Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,ciphertext_bytes
235,1764450498.4961748,rsa_handshake,0.000269567|0.000066463,0.00,0.00,44437504,44437504,512
236,1764450498.5238159,rsa_handshake,0.000406090|0.000086489,0.00,0.00,44437504,44437504,512
237,1764450498.5896294,rsa_handshake,0.000245964|0.000052778,0.00,0.00,44437504,44437504,512
238,1764450498.6073017,rsa_handshake,0.000264097|0.000060291,0.00,0.00,44437504,44437504,512
239,1764450498.632704,rsa_handshake,0.000237218|0.000080408,0.00,0.00,44437504,44437504,512
240,1764450498.648738,rsa_handshake,0.000255632|0.000052497,0.00,2733.50,44441600,44441600,512
241,1764450498.6907597,rsa_handshake,0.000258807|0.000068717,0.00,0.00,44441600,44441600,512
242,1764450498.7072556,rsa_handshake,0.000247107|0.000062876,0.00,0.00,44441600,44441600,512
243,1764450498.7218814,rsa_handshake,0.000502037|0.000092100,0.00,0.00,44441600,44441600,512
244,1764450498.7937012,rsa_handshake,0.000292029|0.000061273,0.00,0.00,44441600,44441600,512
245,1764450498.830293,rsa_handshake,0.000245393|0.000053128,0.00,0.00,44441600,44441600,512
246,1764450498.8483052,rsa_handshake,0.000303751|0.000066573,0.00,0.00,44441600,44441600,512
247,1764450498.858326,rsa_handshake,0.000341110|0.000073496,0.00,0.00,44441600,44441600,512
248,1764450498.8728988,rsa_handshake,0.000243991|0.000060241,0.00,0.00,44441600,44441600,512
249,1764450498.9362092,rsa_handshake,0.000581294|0.000135119,0.00,0.00,44441600,44441600,512
250,1764450499.0142648,rsa_handshake,0.000472953|0.000075699,0.00,0.00,44441600,44441600,512
251,1764450499.049931,rsa_handshake,0.000322766|0.000074938,0.00,0.00,44445696,44445696,512
252,1764450499.0743163,rsa_handshake,0.000455381|0.000067554,0.00,0.00,44445696,44445696,512
253,1764450499.115229,rsa_handshake,0.000254028|0.000071021,0.00,0.00,44445696,44445696,512
254,1764450499.1491733,rsa_handshake,0.000257405|0.000055863,0.00,0.00,44445696,44445696,512
255,1764450499.2329662,rsa_handshake,0.000256604|0.000059019,0.00,0.00,44445696,44445696,512
256,1764450499.2977679,rsa_handshake,0.000280968|0.000063237,0.00,0.00,44445696,44445696,512
257,1764450499.377316,rsa_handshake,0.000464839|0.000041687,0.00,0.00,44445696,44445696,512
258,1764450499.4282217,rsa_handshake,0.000551348|0.000110995,0.00,0.00,44445696,44445696,512
259,1764450499.5144918,rsa_handshake,0.000290967|0.000057466,0.00,0.00,44449792,44449792,512
260,1764450499.5863507,rsa_handshake,0.000434752|0.000085057,0.00,1669.00,44449792,44449792,512
261,1764450499.6177208,rsa_handshake,0.000437307|0.000083986,0.00,0.00,44449792,44449792,512
262,1764450499.687575,rsa_handshake,0.000300275|0.000049381,0.00,0.00,44453888,44453888,512
263,1764450499.721431,rsa_handshake,0.000322997|0.000056565,0.00,0.00,44453888,44453888,512
264,1764450499.7492657,rsa_handshake,0.000267353|0.000078374,0.00,0.00,44453888,44453888,512
265,1764450499.784294,rsa_handshake,0.000441265|0.000098892,0.00,0.00,44453888,44453888,512
266,1764450499.8111544,rsa_handshake,0.000348874|0.000048349,0.00,0.00,44453888,44453888,512
267,1764450499.8353736,rsa_handshake,0.000275800|0.000055362,0.00,0.00,44453888,44453888,512
268,1764450499.8538554,rsa_handshake,0.000557369|0.000114952,0.00,0.00,44453888,44453888,512
269,1764450499.9045691,rsa_handshake,0.000538645|0.000127025,0.00,0.00,44453888,44453888,512
270,1764450499.9305885,rsa_handshake,0.000470068|0.000099453,0.00,0.00,44453888,44453888,512
271,1764450499.9823155,rsa_handshake,0.000278634|0.000070300,0.00,0.00,44453888,44453888,512
272,1764450500.031845,rsa_handshake,0.000493191|0.000048099,0.00,0.00,44453888,44453888,512
273,1764450500.0821066,rsa_handshake,0.000531621|0.000104884,0.00,0.00,44457984,44457984,512
274,1764450500.0914636,rsa_handshake,0.000300175|0.000051485,0.00,0.00,44457984,44457984,512
275,1764450500.1385684,rsa_handshake,0.000484745|0.000101388,0.00,0.00,44457984,44457984,512
276,1764450500.1748564,rsa_handshake,0.000228853|0.000048319,0.00,0.00,44462080,44462080,512
277,1764450500.2299087,rsa_handshake,0.000437518|0.000047658,0.00,0.00,44462080,44462080,512
