Iteration,timestamp,client_keygen_s,client_enc_s,client_dec_s,server_enc_s,server_dec_s,ciphertext_bytes
247,1764562634.4602728,0.015447269,0.000084315,0.000467514,0.000036657,0.000241285,512
248,1764562634.5004783,0.036776637,0.000069088,0.000466512,0.000035877,0.000245744,512
249,1764562634.5538092,0.050205278,0.000053288,0.000484004,0.000066513,0.000233431,512
250,1764562634.590701,0.034238237,0.000071632,0.000435464,0.000032950,0.000223142,512
251,1764562634.615738,0.022745584,0.000048320,0.000442047,0.000033331,0.000216971,512
252,1764562634.6321933,0.013617960,0.000080108,0.000450552,0.000035556,0.000229915,512
253,1764562634.6631305,0.028176859,0.000050664,0.000448238,0.000038171,0.000240705,512
254,1764562634.7056947,0.040017053,0.000066734,0.000446235,0.000033892,0.000221650,512
255,1764562634.7199821,0.011528810,0.000055513,0.000445233,0.000040835,0.000228693,512
256,1764562634.789312,0.066299202,0.000077403,0.000448138,0.000036787,0.000252997,512
257,1764562634.8147929,0.022861378,0.000052126,0.000442117,0.000032090,0.000430465,512
258,1764562634.8504076,0.032959014,0.000062956,0.000442898,0.000036167,0.000239112,512
259,1764562634.8629277,0.010003773,0.000050223,0.000440333,0.000034323,0.000239562,512
260,1764562634.8786123,0.013040412,0.000056354,0.000432109,0.000033091,0.000220508,512
261,1764562634.9381871,0.055785026,0.000090487,0.000472593,0.000041897,0.000268627,512
262,1764562634.9688275,0.027684399,0.000051786,0.000443700,0.000035857,0.000226488,512
263,1764562635.028642,0.055435931,0.000065121,0.000997623,0.000076922,0.000415758,512
264,1764562635.0588725,0.026973996,0.000048790,0.000514350,0.000033442,0.000494674,512
265,1764562635.0752945,0.013411138,0.000043310,0.000441917,0.000078686,0.000522165,512
266,1764562635.1007707,0.022192041,0.000068416,0.000444411,0.000041346,0.000533776,512
267,1764562635.1128516,0.009192483,0.000044232,0.000434202,0.000036557,0.000299012,512
268,1764562635.1344407,0.018973735,0.000041887,0.000430986,0.000034464,0.000307959,512
269,1764562635.1743698,0.036005693,0.000046336,0.000941309,0.000080519,0.000534257,512
270,1764562635.2169416,0.039421133,0.000057547,0.000450502,0.000064469,0.000419966,512
271,1764562635.2357483,0.015351502,0.000050313,0.000719379,0.000038752,0.000242768,512
272,1764562635.255515,0.015980284,0.000078024,0.001056152,0.000064659,0.000418633,512
273,1764562635.292883,0.033771054,0.000076942,0.000449280,0.000065330,0.000446885,512
274,1764562635.321859,0.024200041,0.000093583,0.000854589,0.000074448,0.000456023,512
275,1764562635.3395853,0.013534887,0.000109342,0.001087029,0.000045163,0.000270099,512
276,1764562635.3545635,0.011660554,0.000070700,0.000457986,0.000039333,0.000246946,512
277,1764562635.3771276,0.019418296,0.000061644,0.000475178,0.000042108,0.000264479,512
278,1764562635.4156709,0.035264934,0.000092230,0.000455181,0.000038992,0.000229684,512
279,1764562635.439196,0.019857809,0.000108160,0.000482582,0.000043661,0.000265430,512
280,1764562635.470626,0.027664692,0.000066953,0.000502579,0.000077854,0.000346931,512
281,1764562635.5095563,0.035052492,0.000118579,0.000454389,0.000040174,0.000261183,512
282,1764562635.5775316,0.063275936,0.000130521,0.000889212,0.000075350,0.000509181,512
283,1764562635.5969555,0.015745881,0.000068576,0.000734698,0.000035506,0.000238070,512
284,1764562635.7178862,0.117248163,0.000079787,0.000482161,0.000069850,0.000415388,512
285,1764562635.7516854,0.030538101,0.000058428,0.000457475,0.000040765,0.000232319,512
286,1764562635.7694538,0.013822558,0.000041456,0.000792575,0.000082112,0.000430035,512
287,1764562635.819632,0.046910680,0.000047888,0.000445443,0.000039864,0.000505354,512
288,1764562635.858976,0.036246237,0.000045304,0.000452937,0.000090027,0.000520622,512
289,1764562635.8975065,0.035135906,0.000054732,0.000436687,0.000033061,0.000803114,512
290,1764562635.9467034,0.045935939,0.000083204,0.000446194,0.000041727,0.000260782,512
291,1764562635.99459,0.043536797,0.000059780,0.000992473,0.000046155,0.000457064,512
292,1764562636.0137951,0.015596206,0.000051556,0.000961076,0.000066272,0.000437428,512
293,1764562636.0602043,0.042952698,0.000053108,0.000749385,0.000035326,0.000229674,512
294,1764562636.121744,0.057873595,0.000082823,0.000440424,0.000067595,0.000429754,512
295,1764562636.1637597,0.038807328,0.000059691,0.000433220,0.000062876,0.000444101,512
296,1764562636.1896417,0.022806356,0.000059810,0.000629514,0.000034163,0.000227249,512
297,1764562636.2238793,0.030854405,0.000074408,0.000446184,0.000040425,0.000526593,512
298,1764562636.2576816,0.031019059,0.000052938,0.000442938,0.000033261,0.000246726,512
299,1764562636.2876017,0.026981501,0.000053389,0.000447747,0.000035265,0.000335259,512
300,1764562636.3046732,0.013269917,0.000062145,0.000834893,0.000080118,0.000523537,512
301,1764562636.4304962,0.121160622,0.000148264,0.001130218,0.000041497,0.000247868,512
302,1764562636.4632504,0.028393178,0.000090978,0.000803284,0.000081911,0.000533956,512
303,1764562636.4976804,0.029943473,0.000072454,0.001109300,0.000039132,0.000256393,512
304,1764562636.5310476,0.030194977,0.000050854,0.000445103,0.000081270,0.000527305,512
305,1764562636.5786576,0.044789401,0.000126264,0.000447537,0.000035095,0.000227851,512
306,1764562636.5960395,0.014702384,0.000051335,0.000449390,0.000073195,0.000222311,512
307,1764562636.6270301,0.027752364,0.000050263,0.000451444,0.000090518,0.000514020,512
