Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,ciphertext_bytes
0,1764562564.6322927,server_rsa_keygen,0.023671224,0.00,84.10,42201088,42291200,
189,1764562632.1562796,rsa_handshake,0.000317487|0.000035606,0.00,0.00,43696128,43696128,512
190,1764562632.1771262,rsa_handshake,0.000239373|0.000037990,0.00,0.00,43696128,43696128,512
191,1764562632.2090533,rsa_handshake,0.000376576|0.000039693,0.00,0.00,43696128,43696128,512
192,1764562632.236673,rsa_handshake,0.000246696|0.000038812,0.00,0.00,43696128,43696128,512
193,1764562632.2951763,rsa_handshake,0.000441977|0.000033151,0.00,0.00,43696128,43696128,512
194,1764562632.3543565,rsa_handshake,0.000269207|0.000041387,0.00,0.00,43696128,43696128,512
195,1764562632.3675182,rsa_handshake,0.000243069|0.000039823,0.00,0.00,43696128,43696128,512
196,1764562632.3814936,rsa_handshake,0.000525270|0.000077593,0.00,0.00,43696128,43696128,512
197,1764562632.4261498,rsa_handshake,0.000550838|0.000062766,0.00,1422.00,43696128,43696128,512
198,1764562632.468968,rsa_handshake,0.000283344|0.000061553,0.00,0.00,43696128,43696128,512
199,1764562632.516167,rsa_handshake,0.000238521|0.000035215,0.00,0.00,43696128,43696128,512
200,1764562632.540782,rsa_handshake,0.000226238|0.000037059,0.00,0.00,43696128,43696128,512
201,1764562632.60135,rsa_handshake,0.000234824|0.000050964,0.00,0.00,43696128,43696128,512
202,1764562632.6200242,rsa_handshake,0.000266542|0.000039643,0.00,0.00,43696128,43696128,512
203,1764562632.6487143,rsa_handshake,0.000225657|0.000034223,0.00,0.00,43696128,43696128,512
204,1764562632.6930687,rsa_handshake,0.000253328|0.000035606,0.00,0.00,43696128,43696128,512
205,1764562632.7463753,rsa_handshake,0.000542552|0.000079497,0.00,0.00,43696128,43696128,512
206,1764562632.7826087,rsa_handshake,0.000431808|0.000065091,0.00,0.00,43696128,43696128,512
207,1764562632.8447723,rsa_handshake,0.000471772|0.000072815,0.00,0.00,43696128,43696128,512
208,1764562632.8763173,rsa_handshake,0.000400099|0.000041737,0.00,0.00,43696128,43696128,512
209,1764562632.8925765,rsa_handshake,0.000511314|0.000080970,0.00,0.00,43696128,43696128,512
210,1764562632.948975,rsa_handshake,0.000455301|0.000074347,0.00,1615.70,43696128,43696128,512
211,1764562632.974762,rsa_handshake,0.000232449|0.000034063,0.00,0.00,43696128,43696128,512
212,1764562633.0019617,rsa_handshake,0.000539146|0.000081550,0.00,0.00,43696128,43696128,512
213,1764562633.0213962,rsa_handshake,0.000480417|0.000038451,0.00,0.00,43696128,43696128,512
214,1764562633.0801651,rsa_handshake,0.000535890|0.000042549,0.00,0.00,43696128,43696128,512
215,1764562633.1294246,rsa_handshake,0.000340609|0.000033942,0.00,0.00,43696128,43696128,512
216,1764562633.2249923,rsa_handshake,0.000426358|0.000073986,0.00,0.00,43696128,43696128,512
217,1764562633.281578,rsa_handshake,0.000550517|0.000085308,0.00,0.00,43696128,43696128,512
218,1764562633.3107486,rsa_handshake,0.000301617|0.000068406,0.00,0.00,43696128,43696128,512
219,1764562633.3273802,rsa_handshake,0.000233311|0.000037058,0.00,0.00,43696128,43696128,512
220,1764562633.3825607,rsa_handshake,0.000428161|0.000040756,0.00,0.00,43696128,43696128,512
221,1764562633.4016392,rsa_handshake,0.000225557|0.000035034,0.00,0.00,43696128,43696128,512
222,1764562633.4645162,rsa_handshake,0.000248970|0.000035816,0.00,0.00,43696128,43696128,512
223,1764562633.5628736,rsa_handshake,0.000279135|0.000043581,0.00,0.00,43696128,43696128,512
224,1764562633.5804257,rsa_handshake,0.000483523|0.000070430,0.00,0.00,43696128,43696128,512
225,1764562633.6074564,rsa_handshake,0.000448269|0.000037520,0.00,0.00,43696128,43696128,512
226,1764562633.621516,rsa_handshake,0.000257206|0.000038691,0.00,0.00,43696128,43696128,512
227,1764562633.6538575,rsa_handshake,0.000323187|0.000041827,0.00,0.00,43696128,43696128,512
